Codigo,nombre,ubicacion,tipo_parque,superficie_ha
PNI,Parque Nacional Iguazu,Misiones,PN,67720.00
PNN,Parque Nacional Nahuel Huapi,Rio Negro / Neuquen,PN,717261.00
